rank	sentence	english
658	Mereka bermaksud untuk menyerang.	They intend to attack.
659	Dia mencoba pakaian itu.	He tried those clothes on.
660	Ini album foto Tom.	This is Tom's photo album.
661	Aku kehabisan akal.	I was at my wit's end.
662	Bisa pakai kartu kredit?	Can I use a credit card?
663	Tom mencintai Mary.	Tom loves Mary.
664	Amarah adalah sebuah perasaan.	Anger is an emotion.
665	Aku bukan tentara.	I'm not a soldier.
666	Ini sop jenis apa?	What kind of soup is this?
667	Apa acara TV kesukaanmu?	What is your favourite TV show?
668	Seberapa bagus dia?	How good is he?
669	Itu bunga matahari.	It's a sunflower.
670	Dia di kamar mandi.	She is in the bathroom.
671	Kamu mempunyai kuda.	You have a horse.
672	Toko apa ini?	What kind of shop is this?
673	Apa yang kamu maksud?	What do you mean?
674	Petugas polisi meniup peluitnya.	The police officer blew his whistle.
675	Kapan kecelakaan itu terjadi?	When did the accident happen?
676	Ruangan ini bau.	The air in this room is foul.
677	Dia memanggil kami.	He called us.
678	Sebagian besar makhluk di laut terkena dampak polusi.	Most creatures in the sea are affected by pollution.
679	Tahanannya kabur!	The prisoners are escaping!
680	Dia memulai itu.	He started that.
681	Ada taman di tengah kota.	There's a park in the middle of the city.
682	Dalam satu menit ada 60 detik.	A minute has sixty seconds.
683	Tasmu terbuka.	Your bag's open.
684	Menurut saya yang kedua.	I'd say the second one.
685	Tom kini menggunakan Windows 8.1.	Tom now uses Windows 8.1.
686	Tom melihat hantu.	Tom saw a ghost.
687	Jaga mulutmu, Tom.	Watch your mouth, Tom.
688	Apakah ini cocok?	Is this suitable?
689	Aku tertawa.	I laughed.
690	Pastikan Anda berada dalam posisi yang nyaman.	Make sure that you are in a comfortable position.
691	Tom tidak akan keberatan.	Tom won't mind.
692	Jangan mabuk!	Don't get drunk.
693	Aku tertarik.	I'm interested.
694	Ini buku catatan saya.	This is my notebook.
695	Kita punya banyak tujuan.	We have many goals.
696	Balik kanan!	About face!
697	Tim kami kalah.	Our team lost.
698	"Apa ini?" "Neraka."	"What is this?" "Hell."
699	Jangan pukul aku.	Don't hit me.
700	Itu planet kita.	That's our planet.
701	Aku belum menyelesaikan PR-ku.	I haven't finished my homework yet.
702	Apartemen-apartemen ini didesain khusus untuk keluarga muda.	These apartments are designed specifically for young families.
703	Panggilan tugas.	Duty calls.
704	Periksa kaki-kaki itu.	Check out those legs.
705	Sudah hujan di hutan.	It has rained in the forest.
706	Tom belum ditemukan.	Tom hasn't been found.
707	Aku menonton TV.	I watch television.
708	Jarum kompas menunjuk ke utara.	Compass needles point to the north.
709	Ada dua sungai utama di Bangladesh.	There are two main rivers in Bangladesh.
710	Aku ingin kamera ini.	I want this camera.
711	Burung terbang.	Birds fly.
713	Gue gak peduli.	I don't care.
714	Aku melihat cahaya merahnya.	I saw the red light.
715	Tom pantas dihukum.	Tom deserves punishment.
716	Disebut apa ini?	What is this called?
717	Dia menginginkan air.	She wants water.
718	Aku pahlawan.	I'm a hero.
719	Kamu tidak akan bisa sesantai itu jika kamu terlibat langsung.	You wouldn't be so casual about it if you were directly involved.
720	Aku habis operasi sesar.	I had a C-section.
721	Tergantung situasi.	It depends on the situation.
722	Melarikan diri itu mustahil.	Escape was impossible.
723	Sami suka gambar ini.	Sami likes this picture.
724	Tuhan adalah kejahatan	God is bad.
726	Tom ingin menjadi pusat perhatian.	Tom wants to be the center of attention.
727	Gue gak peduli.	I don't care.
728	Belok ke kiri.	Turn to the left.
729	Aku ketakutan.	I was frightened.
730	Tom menjual roti.	Tom sells bread.
731	Buka kotak itu.	Open the box.
732	Suara itu tidak terdengar.	That voice is inaudible.
733	Tom bukan kuda.	Tom isn't a horse.
734	Tom tidak berguna.	Tom is useless.
735	Alam itu kejam.	Nature is cruel.
736	Tom mengganggu Mary.	Tom bothered Mary.
737	Tom selalu membawa pistol.	Tom always carries a gun.
738	Hidupku dalam bahaya.	My life was in danger.
739	Mari kita makan Nenek.	Let's eat Grandma.
740	Di dalam gelap.	It's dark inside.
741	Aku tidak menyadari hal itu.	I wasn't aware of that.
742	Kami ahli jantung.	We're cardiologists.
744	Saya ingin main.	I want to play.
745	Aku suka kopi.	I like coffee.
746	Ini merupakan kertas.	It's paper.
748	Aku memakan ratu Tom dengan kudaku.	I captured Tom's queen with my knight.
749	Ada beberapa kemungkinan.	There are several possibilities.
750	Kata ini sulit diterjemahkan.	This word is difficult to translate.
751	Kejadian itu teramat perih.	The incident was so poignant.
752	Saya bantu menulis laporan itu.	I helped write that report.
753	Balik kanan!	About face!
754	Dia detektif swasta.	He's a private detective.
755	Daftar ini tidak resmi.	This list is not official.
756	Ini es batu.	This is an ice cube.
757	Sejarah berulang.	History repeats itself.
758	Saya merasa nyaman.	I felt comfortable.
759	Ini daging mentah.	This is raw meat.
760	Keputusan itu final.	The decision is final.
761	Ceritakan padaku.	Tell me the story.
762	Mau istirahat?	How about taking a rest?
763	Buku ini layak dibaca.	This book is worth reading.
764	Kami semua hadir pada pertemuan itu.	We were all present at the meeting.
765	Salah seorang dari para penjaga mati.	One of the guards is dead.
766	Saya memakai alat pacu jantung.	I've got a pacemaker.
767	Ularnya berganti kulit.	The snake shed its skin.
768	Keretanya tiba sesuai jadwal.	The train arrived on schedule.
769	Hanya ada satu kebenaran!	There is only one truth!
770	Persetan dengan semuanya!	Fuck everything.
771	Tiba-tiba dingin, ya?	It's suddenly got cold, hasn't it?
772	Tom itu tukang sampah.	Tom is a garbage man.
773	Apa saja hak mereka?	What are their rights?
774	Harga beras diatur oleh pemerintah.	Rice prices are regulated by the government.
775	Susah memastikan apa yang benar-benar terjadi.	It is difficult to ascertain what really happened.
776	Masih lapar?	Still hungry?
777	Itu cerita bohong.	It was a hoax.
778	Jangan tanya aku.	Don't ask me.
779	Bunga apa itu?	What's that flower?
780	Tom akan menjelaskan semuanya.	Tom will explain everything.
781	Emas itu mahal.	Gold is expensive.
782	Dia berasal dari mana?	Where is she coming from?
783	Jangan malu.	Don't be shy.
784	Suaminya kaya.	Her husband is rich.
786	Anakku bersikeras tidak ingin tidur karena ada monster di bawah tempat tidur.	My son insisted he wouldn't go to sleep because there was a monster under the bed.
787	Aku mayat hidup!	I'm a zombie!
788	Tom dan Frank adalah kawan baik.	Tom and Frank are good friends.
789	Minuman ini sangat enak.	This drink is very delicious.
790	Tangkap Tom.	Grab Tom.
791	Bom akan meledak dalam waktu 10 detik.	The bomb will explode in 10 seconds.
792	Meja yang mana?	Which table?
793	Aku punya pacar.	I have a girlfriend.
794	Semuanya bisa digunakan.	Everything can be used.
795	Kamu orang asing.	You're a foreigner.
796	Berbahaya kah daerah sana?	Is that area dangerous?
797	Ini bukan ikan.	This is not a fish.
798	Angkat tangan!	Hands up!
799	Saya pengacara.	I'm a lawyer.
800	Ketiakmu bau.	Your armpits stink.
801	Tes darahnya normal.	The blood test is normal.
802	Tom memberiku harapan.	Tom gave me hope.
803	Ya ampun, sudahlah.	Jeez, give it a rest.
804	Aku di bank.	I'm at the bank.
805	Skura mengalahkan Nuja dan Mira.	Skura beat Nuja and Mira.
806	Saya punya asuransi jiwa.	I have life insurance.
808	Dia punya otak yang cerdas.	He has a good brain.
809	Dia punya hotel.	He has a hotel.
810	Ke arah selatan.	To the south.
811	Kamu lelah, ya?	You are tired, aren't you?
812	Pohon itu tumbang.	The tree falls.
813	Tom menyisihkan sebagian uangnya tiap bulan.	Tom has been putting aside a little money each month.
814	Linda akan menemui mereka malam ini.	Linda is meeting them this evening.
815	Apa-apaan itu?	What the hell is that?
816	Kami berangkat.	We're leaving.
817	Aku mau pergi ke pusat kota.	I'm going downtown.
818	Rumput tidak tumbuh di bulan.	Grass doesn't grow on the moon.
819	Istana kerajaan tersebut dibangun di atas bukit.	The royal palace was built on a hill.
820	Mereka pria dewasa.	They're grown men.
821	Pion hanya bisa bergerak maju.	Pawns only move forward.
822	Tom tidak menjawab.	Tom didn't answer.
823	Dia menutup pintu.	He closed the door.
824	Itu bukan urusan kamu.	That is no business of yours.
825	Kuncinya rusak.	The lock is broken.
826	Aku lahir di Bumi.	I was born on Earth.
827	Tom ingin terkenal.	Tom wanted to be famous.
828	Ini bukan latihan.	This is not a drill.
829	Lihat katanya di kamus.	Look up the word in the dictionary.
830	Dia tertabrak mobil dan tewas di tempat.	He was hit by a car and died instantly.
831	Keparat kau!	Fuck you!
832	Lihat di atas gedung itu.	Look above that building.
833	Dimana dia mendapatkan luka itu?	Where did he get that scar?
834	Kami membuat sebuah kesepakatan.	We made a deal.
835	Bagaimana kelihatannya?	How does it look?
836	Saya membangun rumah.	I build houses.
837	Rambut saya basah.	My hair is wet.
838	Jawaban itu salah.	That answer's wrong.
840	Ziri melihat desa yang hancur itu.	Ziri saw the destroyed village.
841	Hasil tesnya negatif.	The test result is negative.
842	Suaranya melelehkan hatiku.	Her voice melts my heart.
843	Mary menari.	Mary danced.
844	Kucing itu hewan.	Cats are animals.
845	Apa kau dan Mary masih berhubungan?	Are you and Mary still together?
846	Cepatan, atau lu bakal terlambat.	Hurry up, or you'll be late.
847	Aku bangga padamu.	I'm proud of you.
848	Apa kau mengingat kami?	Do you remember us?
849	Aku butuh baju baru.	I need new clothes.
850	Tidak ada langkah ketiga.	There is no step three.
851	Para tamu akan segera tiba.	The guests will arrive soon.
852	Lubang itu cukup besar.	The hole is big enough.
853	Tom dibunuh Mary.	Tom was murdered by Mary.
854	Aku seorang pelacur.	I'm a prostitute.
855	Aku menolak.	I refuse.
856	Aku memukul Tom.	I hit Tom.
857	Menjadi seorang pangeran tidaklah semudah itu.	Being a prince is not that easy.
858	Yang dikatakan ibuku benar.	What my mother said was true.
859	Polisi menemukan Tom tergeletak di lantai dengan lubang peluru di dahinya.	The police found Tom lying on the floor with a bullet hole in the middle of his forehead.
860	Aku mengenal ayahmu.	I am acquainted with your father.
861	Waktu itu berharga.	Time is valuable.
862	Aku bukan binatang.	I'm not an animal.
863	Kau bisa menyimpan kembaliannya.	You can keep the change.
865	Aku mau pedang!	I want a sword!
866	Iblis menggugat Tuhan.	The Devil sued God.
867	Aturan adalah aturan.	The law is the law.
869	Kau penjahat.	You're a criminal.
871	Waktu habis!	Time's up.
872	Setiap orang bisa berbuat salah.	Anybody can make a mistake.
873	Tom bertindak seolah-olah acuh.	Tom pretended to be ignorant.
874	Sudah jam tujuh.	It's already seven.
875	Keluarkan tanganmu dari sakumu.	Take your hand out of your pocket.
876	Itu tidak adil.	That's not fair.
877	Mereka putus.	They broke up.
878	Dia ada di luar negeri.	He is abroad.
879	Mereka bercinta.	They made love.
880	Tom mengejar Mary.	Tom chased Mary.
881	Tom tidak lemah.	Tom isn't weak.
882	Tom bekerja semalam.	Tom was working last night.
883	Siapa yang merusak ini?	Who broke this?
884	Sepatu kamu bau.	Your shoes stink.
885	Ini suami saya.	This is my husband.
886	Mereka ingin Tom menjadi pemimpin mereka.	They want Tom to be their leader.
887	Koin itu palsu.	That coin is counterfeit.
889	Kita kehabisan bahan bakar.	We've run out of fuel.
890	Kita memerlukan beberapa mil kabel.	We need several miles of cable.
891	Tulislah tiap setelah satu baris.	Write on every other line.
892	Bunuh diri adalah tindakan nekat.	Suicide is a desperate act.
894	Toko macam apa ini?	What kind of shop is this?
895	Langit itu biru.	The sky is blue.
896	Angin topannya sudah pergi.	The typhoon is gone.
897	Kami menikmati menonton tv.	We enjoyed watching TV.
898	Kerugian mereka mencapai satu juta yen.	Their losses reached one million yen.
899	Alam semesta tidak memiliki titik pusat.	The universe has no center.
900	Anda mengetahui banyak lokasi yang menarik ya?	You know many interesting places, don't you?
901	Mama, aku lapar.	Mom, I'm hungry.
902	Pegang talinya.	Take hold of the rope.
903	Aku menonton TV.	I watch television.
904	Saya suka gim video.	I love video games.
905	Pihak kepolisian berjanji untuk menyelidiki kasus itu.	The police promised to look into the matter.
906	Harga bensin naik.	Gas prices are up.
907	Aku berteriak.	I screamed.
908	Sungai itu lebar.	The river is wide.
909	Kamu harus ganti baju.	You have to change your clothes.
910	Sekarang jam sepuluh.	It's ten o'clock.
911	Ada pulau di laut.	There are islands in the sea.
912	Aku berusaha menahan tawa.	I'm trying not to laugh.
913	Mereka mengajukan kasus itu ke pengadilan.	They submitted the case to the court.
914	Tidak ada langkah ketiga.	There is no step three.
915	Semuanya tertawa, termasuk Tom.	Everyone laughed, including Tom.
916	Pertanyaannya sederhana.	The question is simple.
917	Brian memegang tangan Kate.	Brian is holding Kate's hands.
918	Gak usah panik.	There's no need to panic.
919	Cinta dan seks adalah dua hal yang berbeda.	Love and sex are two different things.
920	Perubahan itu bagus.	Change is good.
921	Apa itu hujan?	What is rain?
922	Ini kucing saya.	This is my cat.
923	Mereka mirip.	They're similar.
924	Yanni memotong rambutnya.	Yanni cut his hair.
925	Aku memahami kemarahannya.	I understand his anger.
926	Mereka berjuang.	They struggled.
927	Aku berterima kasih.	I thank you.
928	Tangannya terasa kasar.	His hands feel rough.
929	Diam di situ!	Stand still!
930	Truk itu dicuri.	The truck was stolen.
933	Tom mempertimbangkan untuk bergabung dengan militer.	Tom is considering joining the army.
935	Saya pergi ke pantai.	I went to the beach.
936	Aku suka kue.	I like cake.
937	Aku tidak lupa menulis kode zipnya.	I don't forget to write the zip code.
938	Ini komputer saya.	This is my computer.
939	Aku merasa sedih.	I feel blue.
940	Bawakan tas itu.	Bring the bag.
941	Aku seekor ikan.	I'm a fish.
942	Kami ahli jantung.	We're cardiologists.
943	Dinding itu kotor.	The wall is dirty.
944	Tom kelihatan murung.	Tom looks downcast.
945	Kau harus mengikuti petunjuk dokter.	You should follow the doctor's advice.
946	Apa warna ikan ini?	What colour is this fish?
948	Tom keluar dari bar.	Tom walked out of the bar.
949	Tam bilang dia ingin kegiatan kelompok.	Tam says he wants a group activity.
950	Mulut manis mematahkan tulang.	Honey catches more flies than vinegar.
951	Ini sebuah desa kecil.	This is a small village.
952	Kursi ini jelek.	This chair is ugly.
953	Ini adalah kisah sebenarnya dari Fadil Sadiq.	This is the true story of Fadil Sadiq.
954	Tom menyentuh Mary.	Tom touched Mary.
955	Susunya masih ada nggak?	Is there any milk left?
956	Kami menikmati pertandingan itu.	We enjoyed watching the game.
957	Sami adalah warga Yaman.	Sami is a Yemeni citizen.
958	Dia membuka jendela.	She opens the window.
959	Tiba-tiba lampu padam.	Suddenly, the light went out.
961	Apa danau terbesar di Jerman?	What's Germany's largest lake?
962	Mari bersenang-senang!	Let's live it up!
963	Mobil itu mengeluarkan asap tebal.	The car left a cloud of dust behind it.
964	Aku di gunung.	I was in the mountains.
965	Tom mengambil alih situasi.	Tom took charge of the situation.
966	Apakah ini emas asli?	Is this real gold?
967	Bibi saya seorang jurnalis.	My aunt is a journalist.
968	Apa yang menyebabkan itu?	What causes that?
969	Kuncinya ketemu.	I found the keys.
970	Tom dipecat.	Tom was fired.
971	Kamu punya pisau?	Do you have a knife?
972	Rumahnya bersih.	His house is clean.
973	Dilarang melewati garis putih.	Crossing the white line is forbidden.
974	Aku ingin menjalankan permainan Windows 95.	I want to run a Windows 95 game.
975	Kami mengangkat Jack sebagai ketua.	We elected Jack chairman.
976	Bibirmu biru.	Your lips are blue.
977	Bagaimana mi dibuat?	How are noodles made?
978	Awas kepala!	Duck!
979	Layla tidak melupakan Sami.	Layla didn't forget Sami.
980	Kakek saya meninggal 3 tahun yang lalu.	My grandfather died three years ago.
981	Saya tidak bisa menangani ini sekarang.	I can't deal with this now.
982	Rumahku kotor.	My house is dirty.
983	Ini kata-kata asing.	These are foreign words.
984	Aku berenang seminggu sekali.	I swim once a week.
985	Saya berlari	I run.
987	Bayangkan saja!	Just imagine!
988	Berapa jumlah anak Anda?	How many children do you have?
989	Sisa umurku tinggal enam bulan.	I only have six months to live.
990	Saya dr. Jackson.	I'm Dr. Jackson.
991	Aku anggota klub tenis.	I am a member of the tennis club.
992	Itu akan terbakar	It'll burn.
993	Apakah ini kotoran baru?	Was it a hot poo?
994	Selamat Natal!	Merry Christmas!
995	Resusitasi Jantung Paru adalah tindakan darurat yang perlu dikuasai semua orang.	Cardiopulmonary resuscitation is an emergency procedure that should be mastered by everyone.
997	Tom sangat tampan.	Tom is so handsome.
998	Ayahku sehat.	My father is healthy.
999	Tolong beli ini.	Please buy this.
