rank	sentence	english
834	I'm not a member of the club.	I am not a member of the club.
835	It's not simple.	It isn't simple.
836	Tom's interesting.	Tom is interesting.
837	Do you want to go to space?	Do you want to go to outer space?
838	Is the test hard?	Is the test difficult?
839	Give me that box.	Hand me that box.
840	He's the group leader.	He is the group leader.
841	I am single.	I'm single.
842	He's sitting.	He is sitting.
843	That would destroy my marriage.	That would ruin my wedding.
844	Anyone can join.	Anybody can join.
845	Have no fear.	Have no fear!
847	Peace be with you!	Peace be with you.
848	I forgot my wallet.	I forgot my wallet!
849	You can't force me to go!	You can't force me to go.
850	Life's short.	Life is short.
851	It's not normal.	It isn't normal.
853	I'll be present.	I'll attend.
854	Enjoy yourself!	Enjoy yourself.
855	Is Mike off the bottle?	Did Mike stop drinking alcoholic drinks?
856	It's not a crime.	It isn't a crime.
857	I have no horse.	I don't have a horse.
858	It's on the ground floor.	It's on the first floor.
859	He is American.	He is an American.
860	I've lost count.	I have lost count.
861	What's Area 51?	What is Area 51?
862	Who's in charge?	Who is in charge?
863	Objection, your honor!	Objection, your honor.
864	Lunch is ready!	Lunch is ready.
865	Tom said he walked three miles yesterday.	Tom said that he walked three miles yesterday.
866	I'm a radio ham.	I am a radio ham.
867	What an idiot!	What a dumbass!
868	Kick the ball.	Kick the ball!
869	That'd surprise me.	That would surprise me.
870	Cut the paper in half.	Cut the paper into two halves.
871	Here's your key.	Here is your key.
872	I have a boat.	I've got a boat.
873	Come quickly.	Come quickly!
874	It's not gold.	It isn't gold.
875	I thought you'd be at the bar.	I thought that you'd be at the bar.
876	It's a fish.	It is a fish.
877	Mark the right answer.	Mark the correct answer.
878	Tom is sick.	Tom's sick.
879	He's wearing a hat.	He is wearing a hat.
880	He's crying.	He is crying.
881	It was an accident.	It was an accident!
882	I don't trust my government.	I do not trust my government.
883	He is eight.	He's eight years old.
884	I fell asleep.	I nodded off.
885	Our monthly income will just cover these expenses.	Our receipts for the month will just pay these expenses.
886	Are you certain?	Are you sure?
887	I'm interested.	I am interested.
888	It's not too deep.	It isn't too deep.
889	You're my star, Sami.	You're my hero, Sami.
890	Tom's an old sea dog.	Tom is an old sea dog.
891	I don't agree.	I do not agree.
892	You have problems.	You've got problems.
893	She hired a private detective.	She hired a private investigator.
894	He's in prison.	He's in the joint.
895	What's your major?	What is your major?
896	Stick to it!	Stick to it.
897	Tom didn't offer to pay.	Tom did not offer to pay.
898	That's difficult.	That's hard.
899	He is smart.	He is intelligent.
900	It's not personal.	It isn't personal.
901	Tom has no criminal record.	Tom doesn't have a criminal record.
902	The clock stopped.	The clock has stopped.
903	You saved my hide.	You saved my life.
904	I wonder whether I'm safe.	I wonder if I'm safe.
905	Where's the bank?	Where is the bank?
906	Have a nice trip!	Have a nice trip.
907	You should relax a bit.	You'd better relax a bit.
908	That's a public domain song.	That song is in the public domain.
909	Who gave you this list?	Who gave this list to you?
910	Good afternoon.	Good afternoon!
911	It's not brain surgery.	It isn't brain surgery.
912	Tom's in a fix.	Tom's in a pickle.
913	What a bastard!	What an asshole!
914	I'm proud of you.	I am proud of you.
915	He's making tea.	He's preparing supper.
916	Let! First service.	Let! First serve.
917	Stop screaming.	Stop screaming!
918	I'm looking forward to it.	I am looking forward to it.
919	Tom's angry.	Tom is angry.
920	May I park here?	Is it OK if I park here?
921	We're soul mates.	We are soulmates.
922	I don't think we should be fighting.	I don't think that we should be fighting.
923	Who's Peter?	Who is Peter?
924	You're rich.	You are rich.
925	I know Tom is a former CIA agent.	I know that Tom is a former CIA agent.
926	Blow me down!	Well, I'll go to the foot of our stairs.
927	Paul is one of the pupils taking part in the chess tournament.	Paul is one of the students who are taking part in the chess tournament.
928	I'm ironing my dress.	I am ironing my dress.
929	Where's Mary?	Where is Mary?
930	I missed you.	I missed you!
931	She was at the crime scene.	She was on the scene of the crime.
932	He's killing me.	He is killing me.
933	Everyone's standing.	Everyone is standing.
934	Tom saved me.	Tom rescued me.
936	I don't respect him.	I do not respect him.
937	He's a killer.	He is a killer.
938	It's ice cold.	It is ice cold.
939	My room's a mess.	My room is a mess.
940	Tom's tough.	Tom is tough.
941	Helping feels good.	It feels good to help.
942	Where's the nearest church?	Where is the nearest church?
943	I'm very sad.	I am very sad.
944	My cell phone is handy.	My mobile phone is handy.
945	He is drunk.	He's drunk.
946	I share your idea.	We think alike.
947	It's a good camera.	It is a good camera.
949	We can deliver within a week.	We are able to deliver within a week.
950	I sent Tom a card.	I sent a card to Tom.
951	When pigs fly!	When pigs fly.
952	Ben is not as young as he looks.	Ben's not as young as he looks.
953	I have a girlfriend.	I have a friend.
954	Don't laugh.	Don't laugh!
955	What's that smell?	What is that smell?
956	It's not broken.	It isn't broken.
957	I love my mum.	I love my mom.
958	He's honest.	He is honest.
959	I travel often.	I often travel.
960	It's starting to rain.	It is starting to rain.
961	The pot calls the kettle black.	The pot calls the kettle black!
963	I spent $300 today.	I spent three hundred dollars today.
964	Third time lucky.	Third time's the charm.
965	I'm English.	I am English.
966	We'll visit you.	We will visit you.
968	Where's the judge?	Where is the judge?
969	Open the window.	Open the window!
970	I am hungry.	I feel hungry.
971	How dare you!	How dare you?
972	I think this relationship won't work.	I think that this relationship won't work.
973	Tom moved house.	Tom relocated.
974	I can prove Tom lied.	I can prove that Tom lied.
975	She hired a private eye.	She hired a private investigator.
976	This wall is cold.	That wall is cold.
977	Have a seat.	Take a seat.
978	Put yourself in my position.	Put yourself in my place.
979	I knew Tom wasn't a lieutenant.	I knew that Tom wasn't a lieutenant.
980	I realize I messed up.	I realize that I messed up.
982	It isn't especially hot today.	It is not especially hot today.
983	Where is the cash machine?	Where is the ATM?
984	She's walking.	She is walking.
985	I study art history.	I'm studying art history.
986	It was my pleasure.	It was my pleasure!
987	Bloody hell fire!	Fucking hell!
988	I'm a college student.	I am a college student.
989	I am French.	I'm French.
990	Get everyone involved.	Get everybody involved.
991	Men cry too.	Men cry, too.
992	I became cold.	I got cold.
993	Tom lived a happy life.	Tom had a happy life.
994	It's impossible.	It is impossible.
995	He obviously lied.	He clearly lied.
996	Neither am I.	Neither am I!
997	We don't accept tips.	We do not accept tips.
998	He's not my boyfriend.	He's not my boyfriend!
999	What Tom said was besides the point.	What Tom said was beside the point.
1000	God save the Queen.	God save the Queen!
